date,product_code,registration_no,company,company_en,company_raw,commodity,commodity_mn,product_type,grade,grade_mn,contract_type,bidders,start_price,deal_price,currency,price_unit,total_value,premium_pct,lots,quantity_t,quantity_source,quality
2026-03-13,C04-2026031303,26-36 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,8,74.8,86.8,USD,тонн,5555200.0,16.04,10.0,64000.0,reported,Ash (db):  >14.0-19.0  | Total moisture (ar): 5.0 (-2.0 | +3.0)  | Volatile (daf):  >28.0-37.0  | Total sulphur (db): 1.0 (-0.3 | +0.5)  | G-index (5:1): >65.0
2026-03-13,C03-2026031302,26-06 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,Medium-volatile coking coal,"Дэгдэмхий бодис дунд, коксжих нүүрс",Форвард,8,111.1,138.6,USD,тонн,1774080.0,24.75,2.0,12800.0,reported,Ash (db): 15.0 (-3.0 | +3.0)  | Total moisture (ar): 3.0 (-2.0 | +2.0)  | Volatile (daf): >20.0-28.0  | Total sulphur (db): 0.9 (-0.3 | +0.5)  | G-Index (5:1):  >65
2026-03-13,C01-2026031301,ER-26045,Энержи Ресурс ХХК,Energy Resources,Энержи Ресурс ХХК,Coal,Нүүрс,Баяжуулсан,Washed coking coal,Баяжуулсан коксжих нүүрс,Форвард,8,800.0,950.0,CNY,тонн,12160000.0,18.75,2.0,12800.0,reported,"Үнслэг (хуурай,%) ≤ 11.0%  | Дэгдэмхий бодис   | (үнсгүй хуурай,%) >20.0%-28.0%  | Хүхэр (хуурай, %) ≤ 0.85%  | Нийт чийглэг   | (хүлээн авах   | үеийн төлөв,%) ≤ 10.0%  | G индекс  ≥ 75"
2026-03-12,FE03-2026031201,ECM-26-53,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),Монголросцветмет ТӨҮГ /Эрдэнэс критикал минералс ТӨҮГ/,Iron ore,Төмөр,Хүдэр,Iron ore Fe 52%,Fe-52% Төмрийн хүдэр,Форвард,7,65.0,69.0,USD,тонн,455400.0,6.15,2.0,6600.0,reported,H2O 0.5-1.0%  | Al2O3 1%-3%  | S 0.02%-0.05%  | SiO2 5%-10%  | Fe <52%  | TiO2 0.01%-0.08% | P 0.01%-0.03%
2026-03-12,C04-2026031203,26-35 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,5,68.6,78.1,USD,тонн,2499200.0,13.85,5.0,32000.0,reported,Ash (db): 22.0 (-3.0 | +3.0)  | Total moisture (ar): 4.0 (-1.0 | +2.0)  | Volatile (daf): >28.0-37.0  | Total sulphur (db): 1.1 (-0.5 | +0.5)  | G-Index (5:1): ≥70
2026-03-12,C04-2026031202,26-34 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,5,93.6,98.1,USD,тонн,6278400.0,4.81,10.0,64000.0,reported,Ash (db):  ≤9.0  | Total moisture (ar): ≤8.0  | Volatile (daf): >28.0-37.0  | Total sulphur (db): ≤1.0  | G-index (5:1): ≥75.0
2026-03-12,C02-2026031201,KH-26008,Хангад Эксплорэйшн ХХК,Khangad Exploration,Хангад Эксплорэйшн ХХК,Coal,Нүүрс,Баяжуулсан,Washed semi-soft coking coal,Баяжуулсан сул коксжих нүүрс,Форвард,1,650.0,650.0,CNY,тонн,16640000.0,0.0,4.0,25600.0,reported,"Үнслэг (хуурай,%) ≤ 9.5%  | Дэгдэмхий бодис   | (үнсгүй хуурай,%) > 28.0%  | Хүхэр (хуурай, %) ≤ 0.85%  | Нийт чийглэг   | (хүлээн авах үеийн  | төлөв,%) ≤ 10.0%  | G индекс  ≥65"
2026-03-11,FE01-2026031101,ECM-26-52,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),Монголросцветмет ТӨҮГ /Эрдэнэс критикал минералс ТӨҮГ/,Iron ore,Төмөр,Баяжмал,Iron concentrate Fe 65%,Fe-65% Төмрийн баяжмал,Форвард,1,85.0,85.0,USD,тонн,1683000.0,0.0,6.0,19800.0,reported,H2O 7-10% | Al2O3 0.4%-1% | S 0.02%-0.08% | SiO2 3%-8% | Fe < 65% | TiO2 0.01%-0.08% | P 0.01%-0.03%
2026-03-11,C06-2026031101,ER-26044,Энержи Ресурс ХХК,Energy Resources,Энержи Ресурс ХХК,Coal,Нүүрс,Баяжуулсан,Washed medium-ash semi-hard coking coal,"Баяжуулсан дунд зэрэг үнстэй, хагас хатуу коксжих нүүрс",Форвард,10,350.0,400.0,CNY,тонн,7680000.0,14.29,3.0,19200.0,reported,"Үнслэг (хуурай,%) ≤ 25.0%  | Дэгдэмхий бодис   | (үнсгүй хуурай,%) >10.0%-28.0%  | Хүхэр (хуурай, %) ≤ 1.0%  | Нийт чийглэг (хүлээн  | авах үеийн төлөв,%) ≤ 10.0%  | G индекс  >20-60  | Илчлэг (ккал/кг) ≈5500"
2026-03-11,C04-2026031103,26-33 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,9,74.8,85.3,USD,тонн,2729600.0,14.04,5.0,32000.0,reported,Ash (db):  >14.0-19.0  | Total moisture (ar): 5.0 (-2.0 | +3.0)  | Volatile (daf):  >28.0-37.0  | Total sulphur (db): 1.0 (-0.3 | +0.5)  | G-index (5:1): >65.0
2026-03-11,C04-2026031102,26-32 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,6,93.6,98.1,USD,тонн,3139200.0,4.81,5.0,32000.0,reported,Ash (db):  ≤9.0  | Total moisture (ar): ≤8.0  | Volatile (daf): >28.0-37.0  | Total sulphur (db): ≤1.0  | G-index (5:1): ≥75.0
2026-03-10,FE03-2026031001,ECM-26-51,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),Монголросцветмет ТӨҮГ /Эрдэнэс критикал минералс ТӨҮГ/,Iron ore,Төмөр,Хүдэр,Iron ore Fe 52%,Fe-52% Төмрийн хүдэр,Форвард,8,65.0,69.0,USD,тонн,455400.0,6.15,2.0,6600.0,reported,H2O 0.5-1.0%  | Al2O3 1%-3%  | S 0.02%-0.05%  | SiO2 5%-10%  | Fe <52%  | TiO2 0.01 %-0.08% | P 0.01 %-0.03%
2026-03-10,C04-2026031003,26-31 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,4,58.9,63.9,USD,тонн,4089600.0,8.49,10.0,64000.0,reported,Ash (db): 26.0 (-3.0 | +3.0) | Total moisture (ar): 5.0 (-2.0 | +3.0) | Volatile (daf): >28.0-37.0 | Total sulphur (db): 1.0 (-0.3 | +0.5) | G-Index (5:1): >65
2026-03-10,C04-2026031002,26-30 1-3 CO,Эрдэнэс Тавантолгой ХК,Erdenes Tavan Tolgoi,Эрдэнэс Тавантолгой ХК,Coal,Нүүрс,Боловсруулаагүй,1/3 coking coal,1/3 коксжих нүүрс,Форвард,5,93.6,97.6,USD,тонн,6246400.0,4.27,10.0,64000.0,reported,Ash (db): ≤9.0 | Total moisture (ar): ≤8.0 | Volatile (daf): >28.0-37.0 | Total sulphur (db): ≤1.0 | G-index (5:1): ≥75.0
2026-03-10,C01-2026031001,ER-26043,Энержи Ресурс ХХК,Energy Resources,Энержи Ресурс ХХК,Coal,Нүүрс,Баяжуулсан,Washed coking coal,Баяжуулсан коксжих нүүрс,Форвард,7,800.0,890.0,CNY,тонн,11392000.0,11.25,2.0,12800.0,reported,"Үнслэг (хуурай,%) ≤ 11.0% | Дэгдэмхий бодис  | (үнсгүй хуурай,%) >20.0%-28.0% | Хүхэр (хуурай, %) ≤ 0.85% | Нийт чийглэг  | (хүлээн авах  | үеийн төлөв,%) ≤ 10.0% | G индекс ≥ 75"
2026-03-09,FE03-2026030901,ECM-26-50,Монголросцветмет ТӨҮГ,Mongolrostsvetmet (ex-Erdenes Critical Minerals),Монголросцветмет ТӨҮГ /Эрдэнэс критикал минералс ТӨҮГ/,Iron ore,Төмөр,Хүдэр,Iron ore Fe 52%,Fe-52% Төмрийн хүдэр,Форвард,8,65.0,68.5,USD,тонн,452100.0,5.38,2.0,6600.0,reported,H2O 0.5-1.0%  | Al2O3 1%-3%  | S 0.02%-0.05%  | SiO2 5%-10%  | Fe <52%  | TiO2 0.01 %-0.08% | P 0.01 %-0.03%
